"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,23,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2002","2002",,,"0","Units",,,25.3,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2003","2003",,,"0","Units",,,25.3,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2004","2004",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2005","2005",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2006","2006",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2007","2007",,,"0","Units",,,26.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2008","2008",,,"0","Units",,,26.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2009","2009",,,"0","Units",,,27.3,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2010","2010",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2011","2011",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2012","2012",,,"0","Units",,,24.7,,
"AUS","Australia","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2013","2013",,,"0","Units",,,26,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2000","2000",,,"0","Units",,,26.8,,
"AUT","Austria","EMP17","Female share of seats in national parliaments","WOMEN","Women","TOTAL","Total","2001","2001",,,"0","Units",,,26.8,,
