Occupation,Category,Men Employed,Women Employed,Percentage of women in occupational group,Men Median Earnings,Women Median Earnings,Women's earnings as a percentage of men's earnings
Total Employed,General,"83,061,060","75,697,734",47.7,"53,544","43,394",81.0
Total STEM2 Occupations:,General,"7,890,084","2,879,806",26.7,"91,360","76,820",84.1
Computer systems managers,STEM Occupations,"464,427","196,039",29.7,"118,104","101,763",86.2
Computer and information research scientists,STEM Occupations,"23,902","11,291",32.1,"121,128","102,179",84.4
Computer systems analysts,STEM Occupations,"362,999","249,084",40.7,"89,427","75,628",84.6
Information security analysts,STEM Occupations,"105,305","23,757",18.4,"101,763","86,684",85.2
Computer programmers,STEM Occupations,"265,291","71,725",21.3,"90,404","82,351",91.1
Software developers,STEM Occupations,"1,332,895","307,695",18.8,"114,190","101,266",88.7
Software quality assurance analysts and testers,STEM Occupations,"41,565","30,566",42.4,"79,116","75,591",95.5
Web developers,STEM Occupations,"72,434","32,988",31.3,"76,175","62,340",81.8
Web and digital interface designers,STEM Occupations,"39,373","31,295",44.3,"65,154","62,292",95.6
Computer support specialists,STEM Occupations,"503,120","177,467",26.1,"60,877","55,112",90.5
Database administrators and architects,STEM Occupations,"84,939","43,856",34.1,"96,930","70,256",72.5
Computer systems administrators,STEM Occupations,"181,556","42,231",18.9,"76,323","73,211",95.9
Computer network architects,STEM Occupations,"104,974","9,386",8.2,"96,066","101,160",105.3
"Computer occupations, all other",STEM Occupations,"510,236","189,422",27.1,"70,029","61,048",87.2
Actuaries,STEM Occupations,"20,645","13,650",39.8,"133,788","101,006",75.5
Mathematicians,STEM Occupations,"2,732","1,016",27.1,"131,394","94,905",(X)
Operations research analysts,STEM Occupations,"82,327","79,709",49.2,"91,362","75,537",82.7
Statisticians,STEM Occupations,"23,381","23,129",49.7,"100,273","92,037",91.8
Other mathematical science occupations,STEM Occupations,"74,239","61,734",45.4,"78,141","74,189",94.9
Architectural and engineering managers,STEM Occupations,"154,808","19,991",11.4,"147,093","142,245",96.7
"Surveyors, cartographers, and photogrammetrists",STEM Occupations,"30,916","7,702",19.9,"70,273","56,659",(X)
Aerospace engineers,STEM Occupations,"114,393","16,334",12.5,"112,402","101,105",89.9
Agricultural engineers,STEM Occupations,"2,614",396,13.2,"90,716","93,777",(X)
Bioengineers and biomedical engineers,STEM Occupations,"11,810","2,902",19.7,"94,134","90,990",(X)
Chemical engineers,STEM Occupations,"61,820","15,479",20.0,"105,727","101,296",95.8
Civil engineers,STEM Occupations,"358,160","67,416",15.8,"91,923","79,966",87.0
Computer hardware engineers,STEM Occupations,"48,993","10,153",17.2,"102,060","90,923",(X)
Electrical engineers,STEM Occupations,"236,008","23,429",9.0,"101,802","92,617",91.0
Environmental engineers,STEM Occupations,"21,970","10,591",32.5,"91,027","80,086",88.0
Industrial engineers,STEM Occupations,"205,133","51,393",20.0,"86,334","80,836",93.6
Marine engineers and naval architects,STEM Occupations,"10,830",909,7.7,"86,276","103,672",(X)
Materials engineers,STEM Occupations,"45,352","7,372",14.0,"87,936","82,210",93.5
Mechanical engineers,STEM Occupations,"299,637","28,544",8.7,"91,189","90,524",99.3
"Mining and geological engineers, including mining safety engineers",STEM Occupations,"7,052",500,6.6,"110,014","78,145",(X)
Nuclear engineers,STEM Occupations,"6,376","1,229",16.2,"111,834","105,182",(X)
Petroleum engineers,STEM Occupations,"24,013","5,256",18.0,"138,456","126,712",(X)
"Engineers, all other",STEM Occupations,"508,067","85,473",14.4,"101,281","91,932",90.8
Architectural and civil drafters,STEM Occupations,"43,661","11,217",20.4,"56,781","46,393",81.7
Other drafters,STEM Occupations,"74,863","19,316",20.5,"58,064","50,363",86.7
Electrical and electronic engineering technologists and technicians,STEM Occupations,"99,857","9,929",9.0,"65,471","52,401",80.0
"Other engineering technologists and technicians, except drafters",STEM Occupations,"303,599","83,474",21.6,"60,034","48,180",80.3
Surveying and mapping technicians,STEM Occupations,"65,147","6,306",8.8,"53,592","46,654",(X)
Sales engineers,STEM Occupations,"44,963","5,040",10.1,"125,063","91,083",(X)
Natural sciences managers,STEM Occupations,"7,453","9,761",56.7,"91,559","82,432",90.0
